component,explained_variance_ratio,cumulative_variance
225,7.51544932813479e-05,0.9959882010286966
226,7.402075552259633e-05,0.9960622217842191
227,7.184093416958429e-05,0.9961340627183887
228,7.10465614603502e-05,0.9962051092798491
229,7.020338785083724e-05,0.9962753126676999
230,6.894949126066394e-05,0.9963442621589605
231,6.806550849916311e-05,0.9964123276674597
232,6.666642997494131e-05,0.9964789940974347
233,6.51964161829074e-05,0.9965441905136175
234,6.482944225657396e-05,0.9966090199558741
235,6.252992299307681e-05,0.9966715498788672
236,6.171400630783019e-05,0.996733263885175
237,6.091214936470193e-05,0.9967941760345397
238,5.95702111997851e-05,0.9968537462457394
239,5.9403737741754446e-05,0.9969131499834811
240,5.858893626919602e-05,0.9969717389197503
241,5.762388661974301e-05,0.9970293628063701
242,5.703554786400628e-05,0.9970863983542341
243,5.6124282430325715e-05,0.9971425226366644
244,5.456827384047608e-05,0.9971970909105048
245,5.320750766514286e-05,0.9972502984181699
246,5.3046508343996075e-05,0.997303344926514
247,5.166475201952861e-05,0.9973550096785335
248,5.137505127344486e-05,0.9974063847298069
249,4.99369872804397e-05,0.9974563217170873
250,4.8674242997604225e-05,0.9975049959600849
251,4.790543184595726e-05,0.9975529013919309
252,4.713029918241755e-05,0.9976000316911133
253,4.6244797884536103e-05,0.9976462764889978
254,4.5246376240801074e-05,0.9976915228652387
255,4.417179102141876e-05,0.9977356946562601
256,4.3126500460775204e-05,0.9977788211567209
257,4.252293260990921e-05,0.9978213440893308
258,4.206875585658851e-05,0.9978634128451873
259,4.0589421820881285e-05,0.9979040022670082
260,4.048436397939278e-05,0.9979444866309876
261,3.995525597420033e-05,0.9979844418869618
262,3.879003104141423e-05,0.9980232319180032
263,3.859954705164185e-05,0.9980618314650549
264,3.800154156338226e-05,0.9980998330066183
265,3.756684372856016e-05,0.9981373998503469
266,3.631611595341807e-05,0.9981737159663003
267,3.561518520220248e-05,0.9982093311515026
268,3.49489273052334e-05,0.9982442800788078
269,3.465575621062764e-05,0.9982789358350185
270,3.353109851106366e-05,0.9983124669335295
271,3.3085354890768525e-05,0.9983455522884203
272,3.254625275828213e-05,0.9983780985411785
273,3.2147258825067846e-05,0.9984102458000036
274,3.1750844970635e-05,0.9984419966449742
275,3.101022543394308e-05,0.9984730068704082
276,3.043623476329211e-05,0.9985034431051715
277,2.9371330721431585e-05,0.9985328144358929
278,2.920267117815596e-05,0.998562017107071
279,2.8808362669710435e-05,0.9985908254697408
280,2.796304362931683e-05,0.99861878851337
281,2.7918313787202066e-05,0.9986467068271573
282,2.7623623697912096e-05,0.9986743304508552
283,2.6822922270416024e-05,0.9987011533731256
284,2.624885067394337e-05,0.9987274022237995
285,2.5982413926975828e-05,0.9987533846377264
286,2.5728049598307505e-05,0.9987791126873248
287,2.519091637759032e-05,0.9988043036037023
288,2.467157061221384e-05,0.9988289751743146
289,2.4305920551012688e-05,0.9988532810948656
290,2.4116994081170913e-05,0.9988773980889468
291,2.3899728279539844e-05,0.9989012978172264
292,2.300230146857436e-05,0.9989243001186949
293,2.292455636395059e-05,0.9989472246750589
294,2.2593118556435416e-05,0.9989698177936154
295,2.24081881423254e-05,0.9989922259817577
296,2.1878245547525017e-05,0.9990141042273053
297,2.1548908607966705e-05,0.9990356531359132
